gene_id	gene_short_name	value_1	value_2	fold_change	log2_fold_change	test_stat	p_value	q_value
XLOC_027567	K09H11.1	15.1334	6.56255	0.433646088031901	-1.20541	3.3736	0.000741923	0.0356739
XLOC_029130	D1086.11	192.017	82.9327	0.431903226727307	-1.21122	3.60719	0.000309528	0.0173196
XLOC_013857	col-122	2266.2	978.773	0.431900233012643	-1.21123	7.02932	2.07545e-12	7.30663e-10
XLOC_036122	F11C1.5	39.9731	17.1937	0.430131591305769	-1.21715	4.26153	2.0303e-05	0.00175905
XLOC_004761	maoc-1	114.503	49.2107	0.429776945635014	-1.21834	4.1027	4.08363e-05	0.00312262
XLOC_013653	vha-5	51.5528	22.1558	0.429770987702749	-1.21836	3.95251	7.73359e-05	0.00549016
XLOC_037511	aqp-8	89.3526	38.3673	0.429392828097053	-1.21963	4.00954	6.08379e-05	0.00443621
XLOC_025124	Y105C5B.5	344.475	147.815	0.429101247361779	-1.22061	4.30266	1.6876e-05	0.00149427
XLOC_005303	tba-4	55.5886	23.6938	0.42623471370664	-1.23028	3.84079	0.00012264	0.00816671
XLOC_037344	tag-18	96.8272	41.2095	0.425597033469982	-1.23244	3.61691	0.000298136	0.0169171
XLOC_000090	spp-17	1380.07	579.568	0.419955975080785	-1.25169	5.18592	2.14949e-07	3.60824e-05
XLOC_031958	ugt-17	51.7913	21.6834	0.418668418445829	-1.25612	3.91136	9.17788e-05	0.00629369
XLOC_031364	T25F10.6	168.592	69.5405	0.412478263411759	-1.27761	5.22797	1.71381e-07	2.96968e-05
XLOC_008102	gst-27	71.7276	28.9462	0.403558576247636	-1.30915	3.4889	0.000485014	0.0253766
XLOC_028239	K09G1.1	114.666	46.025	0.401382604977971	-1.31695	3.44785	0.000565072	0.0289084
XLOC_009697	col-98	235.755	94.303	0.400005016999526	-1.32191	5.56861	2.56781e-08	4.92622e-06
XLOC_034378	aqp-7	87.4834	34.9861	0.399916302886682	-1.32223	4.44269	8.88418e-06	0.00090613
XLOC_011386	acs-5	48.0596	19.1484	0.39842773952125	-1.32761	4.53583	5.73785e-06	0.000608325
XLOC_000675	C55B7.3,acdh-1,uri-1	1531.04	596.972	0.389911875362157	-1.35878	6.97953	2.96185e-12	9.9438e-10
XLOC_036409	csq-1	73.4599	28.6188	0.38958228983025	-1.36	4.11298	3.90584e-05	0.00301161
XLOC_004553	R12C12.1	54.9612	21.3536	0.388519792139942	-1.36394	4.57593	4.74101e-06	0.000525772
XLOC_029331	clec-47	145.046	56.1433	0.387073648721557	-1.36932	3.93003	8.49337e-05	0.0058996
XLOC_020063	elo-5	363.186	138.713	0.381932607385096	-1.38861	4.87165	1.10672e-06	0.000151143
XLOC_003498	ech-7	176.458	67.3856	0.381877016973995	-1.38882	3.54169	0.00039757	0.0213561
XLOC_036277	M03B6.2	27.5538	10.5019	0.381141867901087	-1.3916	3.72685	0.00019389	0.011719
XLOC_019233	col-103	217.389	82.8084	0.380922655413701	-1.39243	5.80502	6.43572e-09	1.32964e-06
XLOC_026728	F11E6.3,F11E6.4	265.079	100.741	0.380041796998091	-1.39577	5.02716	4.978e-07	7.49724e-05
XLOC_028715	R13H4.2	85.8199	32.1257	0.374339709292618	-1.41758	3.65894	0.000253259	0.0146282
XLOC_006649	pho-1	57.9095	21.6012	0.373016150140879	-1.42269	3.65929	0.000252916	0.0146282
XLOC_027513	rhr-1	87.3781	32.4608	0.371498940146116	-1.42857	5.039	4.67977e-07	7.18233e-05
XLOC_039549	NA	1737.18	640.448	0.368669507045562	-1.4396	3.63377	0.000279311	0.0159613
XLOC_028157	hsp-16.11	119.832	43.2487	0.360909744152895	-1.47029	3.35885	0.000782678	0.0370621
XLOC_031040	ugt-12	68.565	24.7297	0.360674666987156	-1.47123	4.97295	6.59406e-07	9.66029e-05
XLOC_010473	F42A10.3	26.6515	9.59547	0.360035232870026	-1.47379	3.258	0.00112199	0.0492667
XLOC_038869	R03G8.6	17.4814	6.10887	0.349450496113976	-1.51684	3.82532	0.0001306	0.0085207
XLOC_037538	ifa-4	29.3154	10.2255	0.348811618383192	-1.51948	4.6094	4.03836e-06	0.000451932
XLOC_002497	lbp-6	971.81	330.903	0.340500778065066	-1.55427	6.29154	3.14325e-10	7.91462e-08
XLOC_009579	col-95	576.508	195.216	0.338617866195727	-1.56227	7.58342	3.37508e-14	1.51082e-11
XLOC_039518	mlc-2	739.91	250.519	0.338580314355004	-1.56243	6.52152	6.9599e-11	2.07701e-08
XLOC_002255	pat-10	1681.64	558.939	0.332376433642607	-1.58911	7.24578	4.29878e-13	1.68963e-10
XLOC_011659	K08D12.6	34.8657	11.4644	0.328813172334716	-1.60466	4.83162	1.35424e-06	0.000180361
XLOC_027403	F54D11.2,F54D11.4,pmt-2	443.882	145.613	0.32804599205243	-1.60803	6.13931	8.28802e-10	1.96414e-07
XLOC_028226	haao-1	24.1616	7.8067	0.323103884377304	-1.62993	3.29866	0.000971467	0.0431273
XLOC_028058	grd-5	173.618	55.8572	0.321725010774018	-1.6361	4.57423	4.77974e-06	0.000525772
XLOC_004900	DH11.2	43.9631	14.1171	0.321112337228452	-1.63885	4.61654	3.90194e-06	0.000439719
XLOC_031955	ugt-47	45.2583	14.4092	0.318377436410222	-1.65119	4.80488	1.54841e-06	0.000201231
XLOC_007874	Y38F1A.6	492.767	156.728	0.318057607648756	-1.65264	7.48577	7.10543e-14	3.01326e-11
XLOC_032501	cdr-5	64.6808	20.2525	0.313114017139657	-1.67524	4.33804	1.43759e-05	0.00131629
XLOC_038532	F47B10.2	28.3349	8.78051	0.309883962967869	-1.6902	4.74141	2.12235e-06	0.000263089
XLOC_013980	col-124	433.879	134.039	0.308931738323276	-1.69464	6.2833	3.31471e-10	8.21793e-08
XLOC_031497	ddo-2	71.4346	21.7495	0.304467469864032	-1.71564	3.45823	0.000543727	0.0280839
XLOC_015052	21ur-10648,Y37A1B.5	80.9762	24.3341	0.300508978287426	-1.73452	3.77371	0.000160841	0.0101645
XLOC_035954	sams-1	170.624	51.266	0.300463156452028	-1.73474	5.91353	3.34848e-09	7.19476e-07
XLOC_026727	F11E6.6,elo-2	425.353	127.11	0.2988327145198	-1.74259	6.37567	1.82166e-10	5.06138e-08
XLOC_011496	R02D3.1	51.7991	15.3632	0.29659167322774	-1.75345	6.31988	2.61766e-10	6.91534e-08
XLOC_014269	ZK822.5	24.8754	7.10913	0.285788545696541	-1.80698	3.85524	0.000115616	0.00773095
XLOC_034309	ttr-42	179.481	51.2411	0.285495517608283	-1.80846	4.51706	6.27029e-06	0.000656141
XLOC_031343	pmp-5	86.3547	24.6336	0.285260125111228	-1.80965	4.74365	2.09898e-06	0.00026221
XLOC_009446	hpd-1	247.914	70.6127	0.284827430926873	-1.81184	7.58622	3.28626e-14	1.51082e-11
XLOC_037964	K03A1.4,sur-5	126.374	35.9496	0.284468339734408	-1.81366	5.5007	3.78281e-08	7.17177e-06
XLOC_005404	F54D5.16	112.507	31.5146	0.280112835871686	-1.83592	3.31317	0.000922438	0.0414069
XLOC_009533	T28D6.3	86.6009	24.1794	0.279205642006441	-1.8406	3.47446	0.000511881	0.0266957
XLOC_004767	F32A5.3	45.5811	12.6617	0.277784883889367	-1.84796	4.96918	6.72362e-07	9.76136e-05
XLOC_028904	ugt-16	36.024	9.89428	0.274658339035449	-1.86429	4.98946	6.05482e-07	8.9517e-05
XLOC_027369	nhr-114	79.4863	21.3965	0.269185014010607	-1.89333	4.62025	3.8328e-06	0.000438054
XLOC_019436	cpg-9	158.138	42.0809	0.266101767838036	-1.90995	4.31163	1.62059e-05	0.00144286
XLOC_008610	21ur-15030,R07E5.4	43.1662	11.4786	0.265917384057848	-1.91095	4.09805	4.16642e-05	0.00316707
XLOC_013819	C10C5.5	18.012	4.74187	0.263261781254604	-1.92543	3.69893	0.000216512	0.0126876
XLOC_027754	col-142	46.0548	12.1235	0.263241709312061	-1.92554	4.53954	5.63775e-06	0.000601672
XLOC_027183	F59D6.3	16.7967	4.40957	0.262527416392788	-1.92946	3.90843	9.28972e-05	0.00634339
XLOC_003648	clec-10	13.0279	3.4025	0.261171612534316	-1.93693	3.52265	0.000427255	0.0226487
XLOC_030713	F37B4.10,folt-2	433.019	108.079	0.249593107514134	-2.00235	8.31363	0	0
XLOC_013817	C10C5.3	24.2055	6.03284	0.249235244458474	-2.00442	4.61669	3.89905e-06	0.000439719
XLOC_036424	tatn-1	79.7122	19.8126	0.248552065943379	-2.00838	6.63536	3.23719e-11	1.02289e-08
XLOC_019112	clec-196	35.3878	8.75298	0.247343861377538	-2.01541	3.45176	0.000556946	0.0285834
XLOC_027444	ugt-13	21.2267	5.24084	0.246898503985393	-2.01801	4.4317	9.34919e-06	0.000941639
XLOC_008138	NA	3.79546	0.93651	0.246744528716042	-2.01891	4.37012	1.24176e-05	0.00119113
XLOC_030366	W03F9.4	96.1281	22.5973	0.235074507422851	-2.08881	7.8516	3.9968e-15	1.95177e-12
XLOC_031450	F10D2.10,fat-7	173.204	39.9834	0.230845577682349	-2.115	6.94563	3.76787e-12	1.23917e-09
XLOC_028668	nlp-24	179.638	41.3387	0.230121869358607	-2.11953	4.26302	2.01683e-05	0.00175682
XLOC_008599	mnp-1	9.53104	2.1893	0.229702744607518	-2.12216	4.37184	1.23205e-05	0.00118889
XLOC_011222	col-96	17.3362	3.95154	0.227935888515997	-2.1333	3.69948	0.000216041	0.0126876
XLOC_013869	F58G6.9	106.324	23.8491	0.224305981816613	-2.15646	3.83554	0.000125288	0.00830609
XLOC_005436	F44E5.5	37.2192	8.27006	0.222198348657306	-2.17008	5.61484	1.96747e-08	3.86656e-06
XLOC_007709	F44E5.4	37.9813	8.39898	0.221135108832885	-2.177	5.68713	1.29191e-08	2.6024e-06
XLOC_039417	F59C12.4	129.744	28.1495	0.216961355170566	-2.20449	3.56651	0.000361761	0.0196952
XLOC_011159	col-92	125.873	27.1751	0.215891747162478	-2.21162	6.07515	1.23872e-09	2.85172e-07
XLOC_007022	msra-1	456.93	95.3111	0.208589725222513	-2.26126	8.05733	8.88178e-16	4.771e-13
XLOC_010517	C05D11.5,nas-4	30.8845	6.39934	0.207202023884584	-2.27089	3.80469	0.00014198	0.00911559
XLOC_019188	col-101	1493.5	304.24	0.203708770400324	-2.29542	11.9712	0	0
XLOC_038317	H29C22.1	51.8825	10.5141	0.202652517101434	-2.30292	4.17922	2.92507e-05	0.00238068
XLOC_035838	col-178	1092.59	221.164	0.202420877354622	-2.30457	11.2305	0	0
XLOC_000326	Y47G6A.33	194.291	38.5809	0.198572810351403	-2.33226	3.72649	0.000194166	0.011719
XLOC_030437	fbxa-72	37.1697	7.32263	0.19700579870895	-2.34369	5.03465	4.78711e-07	7.27776e-05
XLOC_033257	T13F3.6	257.022	49.6881	0.193322304131415	-2.37092	7.17952	6.99663e-13	2.68454e-10
XLOC_032043	C35A5.3	69.5603	12.888	0.185278836005066	-2.43223	6.76523	1.33094e-11	4.2896e-09
XLOC_011836	grd-3	132.788	24.2156	0.182362373923326	-2.45512	6.30017	2.97312e-10	7.72771e-08
XLOC_031199	col-140	2088.9	374.537	0.179299081151145	-2.47956	10.0981	0	0
XLOC_035502	F47E1.4	3.06336	0.547016	0.178567322609095	-2.48546	3.53518	0.000407502	0.0218169
XLOC_032336	ceh-27	6.51907	1.11911	0.17166763802416	-2.54231	3.33575	0.000850696	0.0389459
XLOC_035839	col-179	447.867	76.2322	0.170211450655599	-2.5546	9.76901	0	0
XLOC_034048	col-19	904.346	151.046	0.167021994103959	-2.58189	11.8405	0	0
XLOC_027755	col-143	1271.9	211.035	0.165921184072803	-2.59143	12.7654	0	0
XLOC_026920	Y50D4B.3	16.055	2.4948	0.155391554413704	-2.68602	4.63167	3.62725e-06	0.000420526
XLOC_027245	T20D4.7	15.7034	2.43343	0.154962388371225	-2.69001	3.57324	0.000352586	0.0192608
XLOC_028773	C27A7.8	57.3763	8.80936	0.153536119942091	-2.70335	3.3404	0.000836578	0.0388514
XLOC_021427	col-119	2549.97	389.819	0.152871354442174	-2.70961	13.1528	0	0
XLOC_026919	Y50D4B.4	19.6119	2.89758	0.147745899919827	-2.75881	4.9662	6.82758e-07	9.82379e-05
XLOC_011161	col-94	240.239	31.6254	0.131640927363807	-2.92532	8.56288	0	0
XLOC_010589	col-8	1227.8	153.303	0.124859716472753	-3.00162	13.7487	0	0
XLOC_032665	col-160	584.349	71.2555	0.1219397163247	-3.03576	11.9649	0	0
XLOC_005284	col-80	838.575	98.8739	0.11790689562811	-3.08428	12.2963	0	0
XLOC_034151	dhs-25	331.735	35.4756	0.106939741528712	-3.22513	10.8261	0	0
XLOC_039054	ceh-36	5.23164	0.483098	0.0923413093886764	-3.43688	3.83461	0.000125764	0.00830609
XLOC_006585	col-20	1317.96	109.371	0.0829847471904734	-3.59101	15.217	0	0
XLOC_011160	col-93	757.406	55.7604	0.0736204306928931	-3.76375	13.0836	0	0
XLOC_037733	C09B8.4	86.3712	6.2285	0.0721133413197196	-3.79359	7.02864	2.08566e-12	7.30663e-10
XLOC_006700	acdh-2,ins-13	150.388	9.18915	0.0611031260174766	-4.03261	7.10173	1.23213e-12	4.51266e-10
